institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,total_graduating,total_placed,total_higher_studies,placement_rate_pct,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc,matched_journal_docs,quartile_match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0323,2023,Savitribai Phule Pune University,Pune,Maharashtra,60.99,39.30,94.63,51.78,41.07,58.31,19,839,5871,7.0,2917,918,192,31.5,1789,0,60,389095394,1276,14828,11.62,923,72.3,30.3,32.2,22.3,15.2
IR-O-U-0323,2024,Savitribai Phule Pune University,Pune,Maharashtra,61.07,39.17,89.65,52.59,47.00,57.96,23,801,6004,7.5,2157,704,175,32.6,1389,0,70,74580443,1240,10480,8.45,930,75.0,35.5,34.3,18.5,11.7
IR-O-U-0323,2025,Savitribai Phule Pune University,Pune,Maharashtra,51.46,39.42,79.40,50.16,41.63,52.33,56,653,6220,9.53,1868,839,138,44.9,1263,0,128,338721516,1582,5597,3.54,1168,73.8,32.7,31.3,24.0,12.0
IR-O-U-0476,2021,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,58.58,38.28,66.30,57.78,37.34,51.83,22,722,9851,13.64,2475,1986,298,80.2,413,208,114,179955920,606,14149,23.35,512,84.5,43.0,35.0,13.9,8.2
IR-O-U-0476,2022,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,61.35,38.23,67.66,59.74,36.70,53.04,24,722,9835,13.62,2479,1773,187,71.5,431,179,87,397610718,633,12819,20.25,514,81.2,38.7,38.5,15.0,7.8
IR-O-U-0476,2023,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,63.88,40.86,68.45,59.40,36.64,54.71,26,789,10360,13.13,2507,2036,245,81.2,406,134,87,117233514,587,8226,14.01,446,76.0,41.7,35.7,12.8,9.9
IR-O-U-0476,2024,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,69.41,37.64,71.47,66.23,37.87,56.81,28,843,10769,12.77,2654,2192,272,82.6,414,155,73,539685492,564,5470,9.7,418,74.1,43.5,34.9,13.6,7.9
IR-O-U-0476,2025,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,71.76,36.50,74.04,71.78,35.92,58.06,29,847,11847,13.99,2644,2154,289,81.5,686,127,84,290180703,755,2964,3.93,520,68.9,40.4,35.6,12.1,11.9
IR-O-U-0642,2021,Shiv Nadar University,Dadri,Uttar Pradesh,59.50,19.37,63.50,59.14,27.30,45.00,56,243,1845,7.59,569,358,51,62.9,228,3,56,48300000,2,9,4.5,1,50.0,0.0,0.0,100.0,0.0
IR-O-U-0642,2022,Shiv Nadar University,Dadri,Uttar Pradesh,63.53,20.75,64.70,61.38,22.06,46.57,61,246,2208,8.98,464,270,69,58.2,283,3,38,36900000,10,176,17.6,9,90.0,22.2,33.3,33.3,11.1
IR-O-U-0642,2023,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,65.26,24.23,59.23,65.34,24.64,47.69,62,248,2538,10.23,393,240,72,61.1,364,4,53,34877000,17,171,10.06,14,82.4,14.3,57.1,14.3,14.3
IR-O-U-0642,2024,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,71.43,25.51,59.74,66.79,20.86,49.80,62,273,2745,10.05,543,341,117,62.8,399,10,72,46955000,33,246,7.45,23,69.7,39.1,30.4,13.0,17.4
IR-O-U-0642,2025,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,72.19,26.47,65.82,66.64,27.64,52.18,57,232,3002,12.94,809,486,148,60.1,456,11,50,77300680,33,49,1.48,19,57.6,47.4,26.3,5.3,21.1
IR-O-U-0190,2021,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,43.21,23.06,64.69,54.60,12.52,39.53,89,245,3127,12.76,1001,255,121,25.5,186,0,7,12396232,570,27250,47.81,485,85.1,51.1,31.1,11.5,6.2
IR-O-U-0190,2022,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,38.80,28.11,68.66,58.25,15.71,41.19,96,227,3478,15.32,1026,278,107,27.1,251,0,10,3152289,869,32812,37.76,725,83.4,53.7,34.8,6.6,5.0
IR-O-U-0190,2023,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,46.00,34.09,68.98,65.08,14.21,45.76,73,265,3790,14.3,1042,314,205,30.1,257,0,12,12270963,800,23948,29.93,605,75.6,52.6,32.9,9.3,5.3
IR-O-U-0190,2024,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,54.64,39.24,68.70,65.98,3.16,48.82,70,272,3851,14.16,1178,450,185,38.2,254,0,8,6802407,821,14086,17.16,605,73.7,54.2,30.7,11.4,3.6
IR-O-U-0190,2025,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,43.95,46.29,68.77,65.33,28.00,50.16,69,207,4295,20.75,1110,375,181,33.8,337,0,15,14050723,758,6247,8.24,579,76.4,52.0,30.2,10.0,7.8
IR-O-U-0363,2021,Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.89,29.92,71.34,65.89,33.30,52.34,20,1393,12912,9.27,3022,2674,234,88.5,826,179,67,75448000,875,13109,14.98,636,72.7,17.9,21.9,35.2,25.0
IR-O-U-0363,2022,Siksha `O` Anusandhan,Bhubaneswar,Odisha,68.30,35.58,73.45,68.40,49.08,57.60,16,1161,14033,12.09,2666,2184,389,81.9,1007,141,104,101038000,930,12616,13.57,738,79.4,19.2,34.0,17.2,29.5
IR-O-U-0363,2023,Siksha `O` Anusandhan,Bhubaneswar,Odisha,69.78,40.10,73.26,73.35,53.88,60.33,15,1206,15945,13.22,3278,2710,324,82.7,1204,149,71,92545000,1040,9947,9.56,735,70.7,23.4,31.7,21.5,23.4
IR-O-U-0363,2024,Siksha `O` Anusandhan,Bhubaneswar,Odisha,74.09,42.19,74.06,72.74,56.35,62.61,14,1280,17307,13.52,3851,3396,392,88.2,1156,119,88,97101000,1168,8922,7.64,825,70.6,28.1,31.6,18.7,21.6
IR-O-U-0363,2025,Siksha `O` Anusandhan,Bhubaneswar,Odisha,75.45,42.48,77.23,73.03,50.21,63.14,15,1366,19122,14.0,3996,3523,416,88.2,1194,132,102,103864000,2808,13918,4.96,1890,67.3,31.5,29.8,24.3,14.3
IR-O-I-1486,2021,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,64.83,18.35,61.13,64.73,35.23,47.17,47,747,6744,9.03,1472,814,575,55.3,209,103,82,143941830,366,3566,9.74,336,91.8,16.1,25.3,29.2,29.5
IR-O-I-1486,2022,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,69.68,17.07,64.33,65.08,34.74,48.87,48,750,7564,10.09,1303,616,322,47.3,153,117,227,233225319,459,3541,7.71,373,81.3,22.0,25.2,36.5,16.4
IR-O-I-1486,2023,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,68.85,18.53,62.74,62.90,35.47,48.61,57,755,8162,10.81,1719,1072,429,62.4,143,156,344,159991467,449,3140,6.99,361,80.4,19.1,33.0,31.9,16.1
IR-O-I-1486,2024,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,72.73,22.22,62.46,62.99,35.75,50.86,55,651,8635,13.26,1826,1122,571,61.4,177,257,299,582743692,483,1972,4.08,427,88.4,21.8,29.0,27.6,21.5
IR-O-I-1486,2025,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,72.40,24.68,62.69,62.86,34.00,51.35,60,662,8949,13.52,2075,1290,727,62.2,250,344,284,757589218,708,1092,1.54,622,87.9,20.1,28.3,25.7,25.9
IR-O-U-0329,2021,Symbiosis International,Pune,Maharashtra,61.83,18.50,64.52,72.16,40.04,48.22,38,1255,17488,13.93,5267,4286,913,81.4,314,576,101,55389561,651,19754,30.34,418,64.2,26.6,31.3,22.2,19.9
IR-O-U-0329,2022,Symbiosis International,Pune,Maharashtra,65.62,17.80,74.90,66.57,47.82,51.45,32,1258,16408,13.04,5858,4677,1177,79.8,584,167,82,59004884,969,22837,23.57,666,68.7,32.6,27.9,23.7,15.8
IR-O-U-0329,2023,Symbiosis International,Pune,Maharashtra,67.62,22.91,77.78,63.18,40.88,53.13,32,1177,16659,14.15,5476,4802,674,87.7,591,173,88,73788777,1908,31778,16.66,1020,53.5,28.0,28.0,20.5,23.4
IR-O-U-0329,2024,Symbiosis International,Pune,Maharashtra,72.53,27.49,78.53,64.79,42.14,56.41,31,1585,22845,14.41,5985,3998,173,66.8,657,161,104,100109423,2877,25816,8.97,1614,56.1,25.7,31.5,21.5,21.3
