institute_id,nirf_name,af_id,af_name,city,country,doc_count,confirmed
IR-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,,NOT FOUND -- search manually,,,,
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,,NOT FOUND -- search manually,,,,
IR-O-U-0232,Kuvempu University,,NOT FOUND -- search manually,,,,
IR-O-U-0195,University of Jammu,,NOT FOUND -- search manually,,,,
IR-O-U-0453,The Gandhigram Rural Institute,,NOT FOUND -- search manually,,,,
IR-O-U-0345,Mizoram University,,NOT FOUND -- search manually,,,,
IR-O-U-0507,Dayalbagh Educational Institute,,NOT FOUND -- search manually,,,,
IR-O-U-0036,Sri Venkateswara Institute of Medical Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0784,Professor Jayashankar Telangana State Agricultural University,,NOT FOUND -- search manually,,,,
IR-O-U-0181,Dr. Y. S. Parmar University of Horticulture and Forestry,,NOT FOUND -- search manually,,,,
IR-O-U-0318,Mumbai University,,NOT FOUND -- search manually,,,,
IR-O-U-0014,International Institute of Information Technology Hyderabad,,NOT FOUND -- search manually,,,,
IR-O-U-0246,University of Agricultural Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0011,Gandhi Institute of Technology And Management (GITAM),,NOT FOUND -- search manually,,,,
IR-O-U-0298,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",,NOT FOUND -- search manually,,,,
IR-O-U-0051,Dibrugarh University,,NOT FOUND -- search manually,,,,
IR-O-U-0233,Mangalore University,,NOT FOUND -- search manually,,,,
IR-O-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",,NOT FOUND -- search manually,,,,
IR-O-U-0569,The University of Burdwan,,NOT FOUND -- search manually,,,,
IR-O-I-1280,Maharshi Dayanand University,,NOT FOUND -- search manually,,,,
IR-O-U-0576,Kalyani University,,NOT FOUND -- search manually,,,,
IR-O-U-0460,Karunya Institute of Technology and Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0464,"Manonmaniam Sundaranar University, Tirunelveli",,NOT FOUND -- search manually,,,,
IR-O-U-0121,Goa University,,NOT FOUND -- search manually,,,,
IR-O-U-0250,Yenepoya University,,NOT FOUND -- search manually,,,,
IR-O-U-0372,Central University of Punjab,,NOT FOUND -- search manually,,,,
IR-O-U-0050,Assam University-Silchar,,NOT FOUND -- search manually,,,,
IR-O-U-0164,Kurukshetra University,,NOT FOUND -- search manually,,,,
IR-O-U-0047,Rajiv Gandhi University,,NOT FOUND -- search manually,,,,
IR-O-U-0465,Meenakshi Academy of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0136,Gujarat University,,NOT FOUND -- search manually,,,,
IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0383,Punjabi University,,NOT FOUND -- search manually,,,,
IR-O-U-0215,Bangalore University,,NOT FOUND -- search manually,,,,
IR-O-U-0458,Kalasalingam Academy of Research and Higher Education,,NOT FOUND -- search manually,,,,
IR-O-U-0035,Sri Sathya Sai Institute of Higher Learning,,NOT FOUND -- search manually,,,,
IR-O-U-0379,Lovely Professional University,,NOT FOUND -- search manually,,,,
IR-O-U-0249,Visvesvaraya Technological University,,NOT FOUND -- search manually,,,,
IR-O-U-0223,"Jain university, Bangalore",,NOT FOUND -- search manually,,,,
IR-O-C-23033,Krishna Institute of Medical Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0168,Maharishi Markandeshwar (Deemed to be University),,NOT FOUND -- search manually,,,,
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,,NOT FOUND -- search manually,,,,
