year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,pdf_url,faculty_count,total_student_strength,student_strength_breakdown,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,parse_status,faculty_section_raw
2024,IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,57.89,32.86,50.76,63.90,45.47,48.32,74,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0014.pdf,130,1741,"{""UG [4 Years Program(s)]"": 736, ""UG [5 Years Program(s)]"": 614, ""PG [2 Year Program(s)]"": 391}",128,40,17,8,10,12,14,4,116,77,55,46,30,37,531567168,226745000,196154626,ok,Number of faculty members entered 130
2024,IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,59.29,36.93,62.81,51.19,15.46,48.10,75,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0249.pdf,203,2380,"{""UG [4 Years Program(s)]"": 526, ""PG [2 Year Program(s)]"": 1854}",57,224,27,169,5,79,12,172,9,5,3,5,4,3,114150000,7610000,6713000,ok,Number of faculty members entered 203
2024,IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,67.97,17.53,81.99,57.00,2.86,48.04,76,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0136.pdf,521,3537,"{""PG [2 Year Program(s)]"": 3537}",1357,83,244,29,214,0,198,7,129,35,59,39,19,24,1013185995,941397066,1352392107,ok,Number of faculty members entered 521
2024,IR-O-U-0345,Mizoram University,Aizawl,Mizoram,64.34,22.87,73.14,53.15,19.31,48.03,77,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0345.pdf,250,2425,"{""UG [4 Years Program(s)]"": 403, ""UG [5 Years Program(s)]"": 107, ""PG [2 Year Program(s)]"": 1915}",1000,0,111,0,74,0,102,0,220,356,227,25,22,29,678590065,159874194,188025495,ok,Number of faculty members entered 250
2024,IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,66.76,13.13,70.42,63.11,35.75,47.94,78,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-I-1361.pdf,1743,24815,"{""UG [3 Years Program(s)]"": 7987, ""UG [4 Years Program(s)]"": 5175, ""UG [5 Years Program(s)]"": 7048, ""PG [2 Year Program(s)]"": 3398, ""PG [3 Year Program(s)]"": 1033, ""PG [6 Year Program(s)]"": 174}",753,0,83,0,72,0,53,0,237,160,93,150,88,62,214101027,152323438,164296263,ok,Number of faculty members entered 1743
2024,IR-O-U-0451,Chettinad Academy of Research and Education,,,70.87,15.32,61.46,65.48,30.99,47.80,79,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0451.pdf,254,2725,"{""UG [3 Years Program(s)]"": 87, ""UG [4 Years Program(s)]"": 812, ""UG [5 Years Program(s)]"": 1289, ""PG [1 Year Program(s)]"": 0, ""PG [2 Year Program(s)]"": 111, ""PG [3 Year Program(s)]"": 374, ""PG-Integrated"": 52}",214,379,4,65,10,47,8,3,38,62,330,17,28,10,26139766,30498996,29558966,ok,Number of faculty members entered 254
2024,IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,56.43,25.51,67.74,54.12,41.24,47.66,80,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0099.pdf,290,4010,"{""UG [4 Years Program(s)]"": 1847, ""UG [5 Years Program(s)]"": 994, ""PG [1 Year Program(s)]"": 57, ""PG [2 Year Program(s)]"": 1112}",371,225,58,78,56,51,48,47,43,82,68,27,27,20,99154377,60735147,49877987,ok,Number of faculty members entered 290
2024,IR-O-U-0215,Bangalore University,Bengaluru,Karnataka,60.28,14.17,76.46,59.20,39.12,47.45,81,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0215.pdf,377,6431,"{""UG [4 Years Program(s)]"": 2212, ""UG [5 Years Program(s)]"": 300, ""PG [2 Year Program(s)]"": 3919}",693,389,195,91,109,47,99,86,183,86,50,32,42,37,69318778,1221564000,311687000,ok,Number of faculty members entered 377
2024,IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,58.07,32.38,60.98,52.87,26.87,47.31,82,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0202.pdf,337,5422,"{""UG [3 Years Program(s)]"": 333, ""UG [4 Years Program(s)]"": 3494, ""UG [5 Years Program(s)]"": 164, ""PG [2 Year Program(s)]"": 832, ""PG-Integrated"": 599}",453,99,40,4,59,58,43,31,46,44,43,13,12,14,71253348,82001060,85398660,ok,Number of faculty members entered 337
2024,IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,56.93,29.71,56.15,63.25,35.69,47.11,83,https://www.nirfindia.org/nirfpdfcdn/2024/pdf/University/IR-O-U-0372.pdf,181,1870,"{""PG [2 Year Program(s)]"": 1870}",523,0,38,0,25,0,20,0,46,24,13,10,8,4,64623445,88704793,43999967,ok,Number of faculty members entered 181
