institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc
IR-O-U-0108,2024,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,71.29,49.28,92.72,83.10,50.85,68.11,3,740,8730,11.8,1644,0,196,783988393,1515,37083,24.48
IR-O-U-0108,2025,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,73.81,50.03,92.56,83.83,50.63,69.10,4,742,8721,11.75,1649,0,204,936667416,1463,10657,7.28
IR-O-U-0109,2021,Jawaharlal Nehru University,New Delhi,Delhi,71.19,44.96,95.07,73.36,67.88,67.99,2,647,4272,6.6,4251,0,307,294177607,1542,32667,21.18
IR-O-U-0109,2022,Jawaharlal Nehru University,New Delhi,Delhi,71.95,45.55,95.27,70.27,71.43,68.47,2,631,4615,7.31,4232,0,302,217895251,1577,22877,14.51
IR-O-U-0109,2023,Jawaharlal Nehru University,New Delhi,Delhi,73.55,46.56,94.89,73.64,65.51,68.92,2,598,5348,8.94,3845,0,298,298611768,1562,16490,10.56
IR-O-U-0109,2024,Jawaharlal Nehru University,New Delhi,Delhi,74.93,45.27,97.34,72.28,70.39,69.80,2,693,5199,7.5,4098,0,193,281390442,1606,13402,8.34
IR-O-U-0109,2025,Jawaharlal Nehru University,New Delhi,Delhi,75.53,45.59,99.93,78.82,67.89,71.00,2,734,4914,6.69,2904,0,274,678674854,1527,4744,3.11
IR-O-U-0458,2021,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,56.74,21.81,65.20,73.06,26.14,46.52,50,526,6465,12.29,303,137,199,130627830,813,15792,19.42
IR-O-U-0458,2022,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,60.10,26.46,71.20,74.72,34.05,51.09,35,546,7365,13.49,401,154,243,157946012,1004,13945,13.89
IR-O-U-0458,2023,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,62.66,30.87,74.68,76.42,31.15,53.76,29,596,8049,13.51,484,148,237,1500000,1113,9596,8.62
IR-O-U-0458,2024,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,69.75,32.36,74.56,74.30,37.35,56.71,30,628,8774,13.97,575,238,31,25047175,1321,8313,6.29
IR-O-U-0458,2025,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,70.43,36.39,74.68,76.54,37.29,58.37,28,709,9937,14.02,582,236,28,25410374,1604,3728,2.32
IR-O-U-0523,2021,King George`s Medical University,Lucknow,Uttar Pradesh,64.39,27.23,62.97,57.57,23.67,48.21,39,434,2487,5.73,50,0,250,229200000,518,6993,13.5
IR-O-U-0523,2022,King George`s Medical University,Lucknow,Uttar Pradesh,66.33,26.31,63.36,55.83,24.70,48.51,50,435,2273,5.23,167,0,182,328492807,478,7136,14.93
IR-O-U-0523,2023,King George`s Medical University,Lucknow,Uttar Pradesh,70.83,26.63,63.34,56.64,30.64,50.63,45,518,3084,5.95,114,0,239,256845590,516,4036,7.82
IR-O-U-0523,2024,King George`s Medical University,Lucknow,Uttar Pradesh,72.12,27.45,62.81,56.24,30.56,51.10,53,522,2574,4.93,159,0,289,213985456,521,10967,21.05
