year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,pdf_url,parse_status,faculty_section_raw
,,,,,,,,,,,,,719,478,76,39,383,226,236,152,,,,,,,,,,,ok,
,,,,,,,,,,,,,162,546,21,83,6,104,10,113,,,,,,,,,,,ok,
,,,,,,,,,,,,,335,406,49,29,37,27,34,42,,,,,,,,,,,ok,
,,,,,,,,,,,,,130,0,16,0,10,0,19,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,134,342,31,121,25,93,21,115,,,,,,,,,,,ok,
,,,,,,,,,,,,,1173,0,254,0,224,0,192,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,207,0,209,0,151,19,139,16,,,,,,,,,,,ok,
,,,,,,,,,,,,,149,366,17,28,21,38,14,21,,,,,,,,,,,ok,
,,,,,,,,,,,,,273,149,87,51,64,34,90,40,,,,,,,,,,,ok,
,,,,,,,,,,,,,157,123,27,25,36,3,23,2,,,,,,,,,,,ok,
,,,,,,,,,,,,,45,58,1,13,0,8,3,19,,,,,,,,,,,ok,
,,,,,,,,,,,,,173,0,29,0,8,0,5,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,543,362,155,104,139,93,207,97,,,,,,,,,,,ok,
,,,,,,,,,,,,,935,0,163,0,188,0,245,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,258,0,53,0,42,0,14,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,251,0,96,0,39,0,37,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,2595,133,402,23,351,17,324,12,,,,,,,,,,,ok,
,,,,,,,,,,,,,4123,0,805,0,622,0,639,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,3712,267,502,235,480,221,438,292,,,,,,,,,,,ok,
,,,,,,,,,,,,,311,524,130,19,76,20,56,14,,,,,,,,,,,ok,
,,,,,,,,,,,,,2705,0,366,0,397,0,405,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1287,10,260,4,210,0,229,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1809,1762,323,276,529,234,269,228,,,,,,,,,,,ok,
,,,,,,,,,,,,,869,48,237,0,227,0,102,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1645,0,264,0,278,0,196,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1576,0,360,0,309,0,266,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,3404,0,592,0,607,0,578,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1091,779,108,71,117,106,158,122,,,,,,,,,,,ok,
,,,,,,,,,,,,,378,272,116,146,101,30,102,47,,,,,,,,,,,ok,
,,,,,,,,,,,,,2041,0,275,0,269,0,262,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,748,240,76,17,105,8,49,11,,,,,,,,,,,ok,
,,,,,,,,,,,,,1247,1417,166,130,136,51,134,52,,,,,,,,,,,ok,
,,,,,,,,,,,,,33,219,8,15,10,10,8,16,,,,,,,,,,,ok,
,,,,,,,,,,,,,538,106,135,7,137,3,95,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1099,751,244,206,346,217,191,142,,,,,,,,,,,ok,
,,,,,,,,,,,,,580,121,79,9,82,8,35,14,,,,,,,,,,,ok,
,,,,,,,,,,,,,452,0,61,0,82,0,105,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,663,187,130,58,207,30,226,27,,,,,,,,,,,ok,
,,,,,,,,,,,,,932,391,278,116,240,110,257,84,,,,,,,,,,,ok,
,,,,,,,,,,,,,1111,0,85,0,77,0,62,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,387,293,30,14,29,34,21,25,,,,,,,,,,,ok,
,,,,,,,,,,,,,1676,829,433,0,324,0,325,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1687,0,384,0,537,0,323,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,215,110,40,19,46,8,31,12,,,,,,,,,,,ok,
,,,,,,,,,,,,,2941,2017,86,433,282,189,432,288,,,,,,,,,,,ok,
,,,,,,,,,,,,,241,159,74,24,61,46,63,40,,,,,,,,,,,ok,
,,,,,,,,,,,,,478,323,35,44,28,49,39,67,,,,,,,,,,,ok,
,,,,,,,,,,,,,16,0,17,0,16,0,17,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,197,98,45,18,31,6,25,9,,,,,,,,,,,ok,
,,,,,,,,,,,,,1228,0,176,0,154,0,149,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,699,344,60,96,33,61,23,39,,,,,,,,,,,ok,
,,,,,,,,,,,,,646,829,65,82,47,66,75,77,,,,,,,,,,,ok,
,,,,,,,,,,,,,836,2596,39,130,39,78,19,40,,,,,,,,,,,ok,
,,,,,,,,,,,,,505,512,217,129,237,156,173,116,,,,,,,,,,,ok,
,,,,,,,,,,,,,174,901,31,81,29,56,16,42,,,,,,,,,,,ok,
,,,,,,,,,,,,,520,96,41,23,50,37,35,21,,,,,,,,,,,ok,
,,,,,,,,,,,,,172,919,22,51,22,26,12,16,,,,,,,,,,,ok,
,,,,,,,,,,,,,179,566,45,39,23,107,2,24,,,,,,,,,,,ok,
,,,,,,,,,,,,,489,51,41,6,1,17,4,22,,,,,,,,,,,ok,
,,,,,,,,,,,,,1023,12,206,2,241,4,212,7,,,,,,,,,,,ok,
,,,,,,,,,,,,,456,574,30,30,45,26,31,22,,,,,,,,,,,ok,
,,,,,,,,,,,,,187,0,25,0,12,0,14,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1885,1026,349,141,105,256,71,164,,,,,,,,,,,ok,
,,,,,,,,,,,,,1050,23,152,8,160,12,132,15,,,,,,,,,,,ok,
,,,,,,,,,,,,,1176,0,172,0,122,0,108,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,757,506,122,78,122,78,75,59,,,,,,,,,,,ok,
,,,,,,,,,,,,,642,426,133,46,173,52,134,51,,,,,,,,,,,ok,
,,,,,,,,,,,,,560,270,103,54,165,42,95,25,,,,,,,,,,,ok,
,,,,,,,,,,,,,490,324,89,45,108,34,101,34,,,,,,,,,,,ok,
,,,,,,,,,,,,,581,218,68,39,78,30,54,30,,,,,,,,,,,ok,
,,,,,,,,,,,,,951,0,267,0,282,0,184,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,174,3,20,0,16,0,2,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,288,0,19,0,14,6,25,9,,,,,,,,,,,ok,
,,,,,,,,,,,,,1613,390,265,70,338,18,196,12,,,,,,,,,,,ok,
,,,,,,,,,,,,,159,662,37,72,27,21,43,34,,,,,,,,,,,ok,
,,,,,,,,,,,,,587,744,64,71,110,115,99,120,,,,,,,,,,,ok,
,,,,,,,,,,,,,112,112,13,9,28,21,34,22,,,,,,,,,,,ok,
,,,,,,,,,,,,,612,359,77,97,64,84,52,77,,,,,,,,,,,ok,
,,,,,,,,,,,,,754,0,92,0,77,0,83,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,994,1761,224,266,192,184,109,213,,,,,,,,,,,ok,
,,,,,,,,,,,,,1170,0,118,0,156,0,126,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,253,96,59,34,26,14,36,21,,,,,,,,,,,ok,
,,,,,,,,,,,,,102,0,74,0,49,0,57,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1000,559,87,74,141,62,59,82,,,,,,,,,,,ok,
,,,,,,,,,,,,,380,128,380,52,76,39,383,226,,,,,,,,,,,ok,
,,,,,,,,,,,,,49,77,8,4,12,8,14,7,,,,,,,,,,,ok,
,,,,,,,,,,,,,327,397,102,34,75,19,65,41,,,,,,,,,,,ok,
,,,,,,,,,,,,,133,168,7,13,4,26,6,26,,,,,,,,,,,ok,
,,,,,,,,,,,,,122,87,111,94,51,63,51,43,,,,,,,,,,,ok,
,,,,,,,,,,,,,71,119,2,17,3,17,2,29,,,,,,,,,,,ok,
,,,,,,,,,,,,,91,27,4,4,6,6,9,2,,,,,,,,,,,ok,
,,,,,,,,,,,,,1219,0,210,0,254,0,224,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,144,0,8,0,16,0,10,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,339,1242,29,44,5,9,1,13,,,,,,,,,,,ok,
,,,,,,,,,,,,,116,48,12,5,9,3,16,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,21,313,0,105,0,108,0,71,,,,,,,,,,,ok,
,,,,,,,,,,,,,202,188,14,33,27,25,36,3,,,,,,,,,,,ok,
,,,,,,,,,,,,,538,70,61,6,26,6,68,3,,,,,,,,,,,ok,
,,,,,,,,,,,,,425,274,87,29,102,63,74,37,,,,,,,,,,,ok,
,,,,,,,,,,,,,175,492,23,96,21,83,6,104,,,,,,,,,,,ok,
,,,,,,,,,,,,,529,0,77,0,64,0,90,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,52,62,5,3,1,8,0,9,,,,,,,,,,,ok,
,,,,,,,,,,,,,169,0,28,0,29,0,8,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,21,75,2,6,0,2,3,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,142,0,222,0,209,0,151,19,,,,,,,,,,,ok,
,,,,,,,,,,,,,5,0,9,0,6,0,6,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,197,161,40,33,51,26,64,23,,,,,,,,,,,ok,
,,,,,,,,,,,,,146,405,40,116,31,121,25,93,,,,,,,,,,,ok,
,,,,,,,,,,,,,509,215,143,29,158,92,136,56,,,,,,,,,,,ok,
,,,,,,,,,,,,,642,0,91,0,75,0,84,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,321,342,26,14,8,22,27,20,,,,,,,,,,,ok,
,,,,,,,,,,,,,785,797,79,61,111,104,180,150,,,,,,,,,,,ok,
,,,,,,,,,,,,,23,67,3,8,3,16,7,11,,,,,,,,,,,ok,
,,,,,,,,,,,,,44,11,2,4,3,2,2,5,,,,,,,,,,,ok,
,,,,,,,,,,,,,882,0,157,0,163,0,188,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,192,389,3,18,10,7,0,8,,,,,,,,,,,ok,
,,,,,,,,,,,,464,2619,135,336,20,402,23,351,17,1236,1001,1092,153,237,109,4452945226,3811242036,4692022074,,ok,Number of faculty members entered 464
,,,,,,,,,,,,647,4251,0,476,0,805,0,622,0,307,337,282,26,37,35,294177607,343448178,321701254,,ok,Number of faculty members entered 647
,,,,,,,,,,,,1535,3302,179,953,23,807,235,809,221,377,373,380,32,53,61,408686049,464277125,1271450835,,ok,Number of faculty members entered 1535
,,,,,,,,,,,,1275,2588,1192,611,489,323,276,529,234,683,676,602,76,69,67,992007876,913323751,578532524,,ok,Number of faculty members entered 1275
,,,,,,,,,,,,1624,562,651,63,30,130,19,76,20,174,144,138,82,64,71,256034400,248601253,216723224,,ok,Number of faculty members entered 1624
,,,,,,,,,,,,742,1483,0,345,0,360,0,309,0,199,121,76,45,30,19,486864702,300732663,331361243,,ok,Number of faculty members entered 742
,,,,,,,,,,,,2661,1035,51,124,44,237,0,227,0,407,423,324,149,124,146,264444975,347449423,516201723,,ok,Number of faculty members entered 2661
,,,,,,,,,,,,639,2814,0,338,0,366,0,397,0,262,318,197,46,62,55,435392251,674873524,441814244,,ok,Number of faculty members entered 639
,,,,,,,,,,,,442,1758,15,264,0,210,4,229,0,319,370,360,43,54,58,356820612,670101167,496791150,,ok,Number of faculty members entered 442
,,,,,,,,,,,,1674,3634,250,384,21,363,15,312,10,81,88,90,43,82,31,563724255,387048350,85876855,,ok,Number of faculty members entered 1674
,,,,,,,,,,,,712,1875,0,494,0,264,0,278,0,150,101,92,17,21,44,568083583,698164865,670319891,,ok,Number of faculty members entered 712
,,,,,,,,,,,,1060,3700,0,539,0,592,0,607,0,341,339,276,46,57,33,500736706,615782537,509951849,,ok,Number of faculty members entered 1060
,,,,,,,,,,,,2129,1589,1375,135,163,166,130,136,51,105,171,146,19,34,23,92024003,158518885,162612371,,ok,Number of faculty members entered 2129
,,,,,,,,,,,,283,524,219,127,27,116,146,101,30,153,48,48,34,29,24,424535177,407284953,352539152,,ok,Number of faculty members entered 283
,,,,,,,,,,,,168,511,106,140,5,135,7,137,3,170,200,153,100,90,89,312090703,294796291,44096720,,ok,Number of faculty members entered 168
,,,,,,,,,,,,1024,936,792,82,100,108,71,117,106,91,108,153,39,45,44,360300755,479369557,339644923,,ok,Number of faculty members entered 1024
,,,,,,,,,,,,785,954,283,91,20,76,17,105,8,323,269,197,92,71,39,339847243,214685884,194927639,,ok,Number of faculty members entered 785
,,,,,,,,,,,,1074,1992,0,295,0,275,0,269,0,943,929,556,186,169,123,1500326360,1432812146,2516975851,,ok,Number of faculty members entered 1074
,,,,,,,,,,,,451,1146,0,461,0,384,0,501,0,110,83,84,15,7,15,117665402,148949834,281294180,,ok,Number of faculty members entered 451
,,,,,,,,,,,,1393,826,179,89,8,79,9,82,8,67,79,60,29,32,24,75448000,48547000,58874000,,ok,Number of faculty members entered 1393
,,,,,,,,,,,,1895,1099,0,115,0,52,0,44,0,98,131,92,27,43,50,851524480,691733939,543582310,,ok,Number of faculty members entered 1895
,,,,,,,,,,,,722,413,208,59,22,30,14,29,34,114,96,94,20,26,21,179955920,190411894,164644228,,ok,Number of faculty members entered 722
,,,,,,,,,,,,1005,2280,533,275,0,433,0,324,0,163,148,138,25,28,10,286749020,194314065,254257033,,ok,Number of faculty members entered 1005
,,,,,,,,,,,,684,1079,775,362,251,244,206,346,217,53,52,72,43,43,43,294249426,280171797,268935805,,ok,Number of faculty members entered 684
,,,,,,,,,,,,2068,541,1536,69,150,39,130,39,78,149,143,144,42,44,39,151143245,157698656,108320397,,ok,Number of faculty members entered 2068
,,,,,,,,,,,,555,561,199,78,40,35,44,28,49,56,74,59,25,23,15,93013000,91044000,90805768,,ok,Number of faculty members entered 555
,,,,,,,,,,,,286,1197,449,471,131,393,116,350,110,81,85,37,19,25,13,60246826,76152804,38263140,,ok,Number of faculty members entered 286
,,,,,,,,,,,,296,663,164,77,28,130,58,145,30,216,153,73,37,23,17,228734803,327174840,270398644,,ok,Number of faculty members entered 296
,,,,,,,,,,,,876,155,570,20,21,45,39,23,107,5240,5040,8383,1993,1752,4530,11132000,26438000,5740000,,ok,Number of faculty members entered 876
,,,,,,,,,,,,3350,1137,247,77,116,60,96,33,61,122,124,104,22,33,18,194569279,120413972,158011175,,ok,Number of faculty members entered 3350
,,,,,,,,,,,,135,367,128,70,24,74,24,61,46,91,101,67,30,26,21,983212544,504750901,197964103,,ok,Number of faculty members entered 135
,,,,,,,,,,,,428,2953,2029,220,176,86,433,282,189,97,131,77,24,36,18,661257133,576133000,187600000,,ok,Number of faculty members entered 428
,,,,,,,,,,,,349,690,836,76,67,65,82,47,66,54,58,38,17,13,17,44347060,522862611,184858644,,ok,Number of faculty members entered 349
,,,,,,,,,,,,813,219,112,51,19,45,18,31,6,112,76,57,47,34,25,68334119,59320675,51355527,,ok,Number of faculty members entered 813
