institute_id,year,total_documents,total_citations,avg_citations_per_doc,note
IR-O-U-0052,2024,779,5877,7.54,
IR-O-U-0052,2025,829,2036,2.46,
IR-O-I-1441,2021,532,17989,33.81,
IR-O-I-1441,2022,2181,52533,24.09,
IR-O-I-1441,2023,3656,68072,18.62,
IR-O-I-1441,2024,5000,63614,12.72,only 5000/6757 retrieved (ceiling or partial failure)
IR-O-I-1441,2025,5000,37943,7.59,only 5000/9340 retrieved (ceiling or partial failure)
IR-O-U-0485,2021,475,5935,12.49,
IR-O-U-0485,2022,633,6906,10.91,
IR-O-U-0485,2023,715,6162,8.62,
IR-O-U-0485,2024,1263,6735,5.33,
IR-O-U-0485,2025,1834,4311,2.35,
IR-O-U-0463,2021,325,5169,15.9,
IR-O-U-0463,2022,352,5566,15.81,
IR-O-U-0463,2023,399,5692,14.27,
IR-O-U-0463,2024,427,3830,8.97,
IR-O-U-0463,2025,504,1750,3.47,
IR-O-I-1110,2021,5,26,5.2,
IR-O-I-1110,2022,7,16,2.29,
IR-O-I-1110,2023,12,131,10.92,
IR-O-I-1110,2024,40,379,9.47,
IR-O-I-1110,2025,110,5153,46.85,
IR-O-U-0098,2021,1674,28168,16.83,
IR-O-U-0098,2022,1853,28923,15.61,
IR-O-U-0098,2023,1947,20242,10.4,
IR-O-U-0098,2024,1758,24894,14.16,
IR-O-U-0098,2025,1644,6131,3.73,
IR-O-U-0369,2021,726,13991,19.27,
IR-O-U-0369,2022,788,12564,15.94,
IR-O-U-0369,2023,942,11403,12.11,
IR-O-U-0369,2024,1016,10934,10.76,
IR-O-U-0369,2025,1076,4296,3.99,
IR-O-U-0037,2021,199,2931,14.73,
IR-O-U-0037,2022,192,2930,15.26,
IR-O-U-0037,2023,214,1983,9.27,
IR-O-U-0037,2024,194,1133,5.84,
IR-O-U-0037,2025,213,652,3.06,
IR-O-U-0020,2021,1218,15679,12.87,
IR-O-U-0020,2022,1726,20264,11.74,
IR-O-U-0020,2023,2613,27937,10.69,
IR-O-U-0020,2024,3180,28284,8.89,
IR-O-U-0020,2025,3334,13051,3.91,
IR-O-U-0381,2021,935,19670,21.04,
IR-O-U-0381,2022,1142,19425,17.01,
IR-O-U-0381,2023,1152,14739,12.79,
IR-O-U-0381,2024,1195,10023,8.39,
IR-O-U-0381,2025,1117,3268,2.93,
IR-O-U-0642,2021,2,9,4.5,
IR-O-U-0642,2022,10,176,17.6,
IR-O-U-0642,2023,17,171,10.06,
IR-O-U-0642,2024,33,246,7.45,
IR-O-U-0642,2025,33,49,1.48,
IR-O-U-0196,2021,948,20615,21.75,
IR-O-U-0196,2022,1208,23160,19.17,
IR-O-U-0196,2023,1282,14884,11.61,
IR-O-U-0196,2024,1201,10746,8.95,
IR-O-U-0196,2025,1333,4970,3.73,
IR-O-U-0235,2021,460,9121,19.83,
IR-O-U-0235,2022,475,7637,16.08,
IR-O-U-0235,2023,442,5353,12.11,
IR-O-U-0235,2024,480,3563,7.42,
IR-O-U-0235,2025,525,1989,3.79,
IR-O-U-0376,2021,714,17023,23.84,
IR-O-U-0376,2022,767,14994,19.55,
